,File_Name,Book_Name,Topics,Named_Entities
0,edu623_ClayModellingInfants_ocr.pdf,Clay Modelling Infants,oe:0.694 | iv:0.649 | wee:0.485 | pencil:0.431 | handiwork:0.396 | :0.396 | making:0.367 | finger:0.326 | infants:0.320 | clay:0.300 | shape:0.183 | hands:0.179 | round:0.165 | fingers:0.134 | ‘:0.098 | may:0.082 | form:0.045 | of:0.033 | ‘ ‘:0.032 | child:0.026 | made:0.025 | first:0.025 | given:0.023 | use:0.020 | two:0.018,CLAY:0.205 | HAT:0.085 | PIE:0.053 | TEA:0.034 | BALL:0.027 | XII:0.027 | SHOP:0.025 | XXV:0.023 | PAT:0.023 | PIN:0.021 | LXX:0.021 | XXX:0.021 | ORANGE:0.017 | CLOTH:0.017 | Markings:0.017 | XXII:0.012 | KEEP:0.010 | XXXI:0.010 | XLI:0.010 | XIV:0.010 | XIX:0.010 | XIII:0.010 | LEAVES:0.010 | Handiwork:0.010 | LXV:0.008
1,edu734_CurriculumConstruction_ocr.pdf,Curriculum Construction,summary:0.925 | difficulty:0.866 | limitation:0.858 | scoring:0.845 | difficulties:0.819 | interviews:0.804 | lobulation:0.801 | satisfaction:0.782 | dissatisfaction:0.767 | interviewing:0.746 | fifth:0.740 | odd:0.736 | difficult:0.733 | extraschool:0.731 | scored:0.727 | hoffman:0.716 | art:0.713 | score:0.700 | lambs:0.697 | mathematical:0.697 | five:0.694 | lamb:0.693 | eight:0.693 | random:0.689 | artistic:0.687,Cortlandt:0.459 | Burysrarg:0.175 | Round:0.065 | MOTJOJ:0.042 | the ‘Statistical Abstract:0.012 | Z:0.011 | CURRICULUM:0.010 | Va:0.010 | 2) Vocation:0.009 | Superintendent:0.008 | Teachers’ College:0.008 | Surdojsaoq:0.007 | the War:0.006 | Robinson Russe:0.006 | Time:0.006 | Burajos:0.005 | Chinese:0.005 | k) Exchange:0.005 | State:0.005 | Mary Wollstonecraft:0.005 | Buyonsysu0o:0.004 | HOS:0.004 | Tory:0.003 | Parliament:0.002 | OAC:0.002
2,edu740_GrammarReasons_ocr.pdf,Grammar Reasons,schele:0.932 | house:0.929 | independent:0.921 | writing:0.871 | shall:0.849 | houses:0.817 | thomas:0.814 | chapters:0.806 | interrogative:0.770 | scuele:0.761 | infections:0.746 | chapter:0.741 | infection:0.729 | scuelz:0.721 | indirect:0.706 | idioms:0.685 | plural:0.660 | scrence:0.658 | boyfactitive:0.656 | asserting:0.650 | stay:0.646 | scheele:0.644 | possession:0.641 | boyobject:0.635 | genderforms:0.630,ING:0.140 | Use:0.065 | GRAMMAR:0.060 | Grammar:0.060 | English:0.047 | Word:0.039 | SENTENCE:0.029 | Thou:0.028 | Met:0.028 | Words:0.021 | Time:0.021 | WILL:0.020 | Case:0.019 | Subject:0.018 | SHOULD:0.016 | Ought:0.015 | NOUN:0.013 | Noun:0.013 | Shall:0.012 | Reasons:0.012 | Speech:0.011 | Sentences:0.010 | Irs:0.010 | Parts:0.009 | L b:0.007
3,edu747_ManualFarmAnimals_ocr.pdf,Manual Farm Animals,uniformity:0.955 | fig:0.948 | owned:0.926 | act:0.885 | figs:0.873 | carbohydrates:0.861 | later:0.852 | bandages:0.835 | soundness:0.833 | lie:0.832 | harnessing:0.818 | hindquarters:0.810 | lamb:0.809 | hothouses:0.807 | pigs:0.793 | eye:0.790 | blisters:0.780 | blister:0.777 | abortion:0.776 | cholera:0.775 | cement:0.773 | uniform:0.772 | blankets:0.771 | digestion:0.769 | bandage:0.762,Dicestiste Nourrrents:0.588 | Flaubert:0.063 | Parce Yorxsuire:0.020 | :0.019 | Carbohydrates:0.013 | Sheep:0.012 | SHEEP:0.012 | COW:0.012 | Hairy Barn:0.011 | Z:0.010 | Left Mind Leg:0.009 | BREEDING:0.009 | SchmidtKolding:0.008 | MET:0.008 | Manual:0.007 | Beef:0.005 | Lafayette:0.005 | Eye:0.005 | HERD:0.004 | El 21.3:0.004 | Method:0.004 | PED:0.004 | John B. Castleman:0.004 | CALF:0.003 | Ice:0.003
4,edu542_FundamentalsChildStudy_ocr.pdf,Fundamentals Child Study,ici:0.969 | psychol:0.967 | chamberlain:0.945 | dual:0.941 | smith:0.930 | baldwin:0.916 | kirkpatrick:0.915 | john:0.915 | oh:0.877 | fatigue:0.870 | serenity:0.870 | ten:0.857 | baldwins:0.854 | hygiene:0.854 | twelve:0.845 | chaps:0.839 | fatigues:0.838 | german:0.828 | six:0.810 | imitation:0.808 | rev:0.802 | college:0.798 | helen:0.785 | 120p:0.781 | fatigued:0.773,W:0.279 | Benjamin:0.063 | Child:0.053 | TER:0.050 | U. S. Our:0.037 | Hewins:0.035 | Toller:0.022 | Children:0.022 | Robinson:0.021 | Canada:0.020 | Church:0.018 | Than:0.014 | Duc:0.014 | LII:0.013 | Animal Life:0.013 | Eager:0.012 | W. T. Some:0.010 | Lay:0.009 | School:0.008 | Clark:0.008 | MON:0.007 | Ze:0.007 | R. L.:0.007 | Self:0.006 | CURIOSITY:0.006
5,edu921_ProblemsPsychology_ocr.pdf,Problems Psychology,ten:0.835 | five:0.745 | justification:0.678 | illustrate:0.646 | fifty:0.583 | psychological:0.579 | te:0.524 | perception:0.516 | hesitated:0.467 | mental:0.449 | minutes:0.437 | three:0.432 | simple:0.420 | long:0.410 | last:0.405 | mind:0.389 | birth:0.386 | equal:0.377 | asked:0.373 | wake:0.373 | children:0.360 | rail:0.357 | foot:0.352 | why:0.351 | days:0.348,"F:0.531 | Or:0.197 | Win:0.041 | WILL:0.020 | Justify:0.014 | State:0.014 | PROBLEMS:0.012 | Instinct:0.008 | Woodworth:0.007 | Organ:0.006 | John:0.005 | Habit:0.005 | EMOTION:0.005 | SENSATION:0.005 | James:0.004 | Trees:0.004 | Pillsbury:0.003 | Discuss:0.003 | Norsworthy:0.003 | Fig:0.003 | Whitney:0.003 | Produce
:0.003 | Little:0.003 | Black:0.003 | Write:0.002"
6,edu224_ElementaryLaboratoryCoursePsych_ocr.pdf,Elementary Laboratory Course Psych,glass:0.788 | localisation:0.754 | hard:0.711 | lines:0.705 | tabulate:0.703 | thresholds:0.692 | experiments:0.691 | discs:0.684 | line:0.667 | localised:0.653 | threshold:0.653 | disc:0.650 | cards:0.619 | cardboard:0.607 | division:0.598 | touching:0.596 | illusion:0.584 | senses:0.577 | five:0.572 | criminal:0.570 | auditory:0.566 | elbow:0.566 | differences:0.563 | crime:0.561 | smelling:0.561,Sensitivity:0.517 | ETC:0.069 | the SHUTTER Tic:0.053 | Spanish Caught:0.027 | Visual:0.027 | LOCALIZATION:0.026 | Tic:0.023 | Lane:0.023 | Time:0.021 | GROUP:0.014 | Fig:0.014 | Z:0.011 | HAND:0.011 | Au:0.010 | TACTUAL:0.010 | ANG:0.007 | Method:0.006 | MiltonBradley:0.005 | LOGICAL:0.005 | SHUTTER:0.005 | Pasteboard:0.004 | Sketch:0.004 | Vision:0.004 | Indicate:0.004 | White Era:0.004
7,edu042_ArtOfEducation_ocr.pdf,Art Of Education,"fourteen:0.734 | seven:0.628 | dozen:0.624 | pp
:0.590 | forty:0.582 | two:0.542 | thirty:0.536 | educational:0.527 | many:0.519 | give:0.504 | kind:0.499 | louis:0.475 | inseparable:0.467 | power:0.454 | september:0.433 | imagination:0.429 | sixty:0.422 | yacht:0.419 | mind:0.415 | truth:0.412 | state:0.407 | marengoat:0.399 | think:0.384 | hundred:0.377 | austerlitz:0.369",Art:0.134 | Education:0.086 | May:0.049 | School:0.048 | Use:0.041 | CHA:0.041 | ARTS:0.038 | Arts:0.038 | Force:0.026 | The Child:0.025 | Attention:0.024 | Time:0.023 | Vol:0.018 | Nature:0.016 | IDEALS:0.015 | Artist:0.015 | Phenomena:0.014 | Thought:0.012 | Method:0.011 | State:0.011 | Interesting:0.010 | Effort:0.009 | Love:0.009 | WARD:0.009 | Lay:0.008
8,edu980_PageantAmericaWilderness_ocr.pdf,Pageant America Wilderness,augustine:0.963 | lawrences:0.829 | fort:0.807 | california:0.805 | iroquois:0.787 | greenland:0.785 | ships:0.779 | missionaries:0.770 | salle:0.758 | salles:0.742 | rivers:0.738 | ceremony:0.733 | puritans:0.721 | puritan:0.706 | penns:0.704 | ceremonies:0.699 | aztec:0.693 | pirates:0.688 | pilgrims:0.686 | boats:0.686 | aztecs:0.686 | baltimore:0.685 | headwaters:0.674 | accurate:0.674 | hunting:0.670,Order:0.233 | C. G. Child:0.127 | TOLERATION:0.120 | W:0.084 | Le:0.025 | Country:0.023 | ACADIA:0.023 | K:0.021 | Ll:0.017 | Walpole:0.013 | Louis de Santangel:0.012 | OVE:0.005 | Kingdom of Heaven:0.005 | Liza:0.004 | Ran:0.004 | ONS:0.004 | Supplies:0.004 | Samuel Carpenter:0.004 | America:0.004 | Great Saw:0.003 | India:0.003 | INDIAN:0.003 | T. Cecil:0.003 | Pp:0.003 | Pain:0.002
9,edu463_StorytellingUpperGradeTeachers_ocr.pdf,Storytelling Upper Grade Teachers,hofmann:0.983 | nixonroulet:0.978 | miles:0.941 | hills:0.933 | copyrighted:0.917 | claflin:0.915 | nixonrouwlet:0.898 | scout:0.887 | rabbit:0.885 | table:0.880 | fly:0.865 | copyright:0.853 | humorous:0.847 | priscilla:0.843 | beethoven:0.834 | rabbits:0.810 | scouts:0.804 | avdyeeich:0.788 | martin:0.785 | mile:0.784 | velasquez:0.781 | bartimaeus:0.776 | beethovens:0.774 | ethical:0.772 | hill:0.770,Man:0.046 | STORIES:0.043 | Thou:0.025 | Z:0.023 | STORYTELLING:0.018 | StoryTelling:0.018 | Your:0.015 | Va:0.014 | Word:0.012 | Say:0.011 | Mile:0.011 | Ami:0.010 | Road:0.009 | Star:0.008 | School:0.008 | Love:0.008 | Dark:0.008 | Pipes:0.007 | Door:0.007 | June:0.007 | Dwarf:0.007 | Woman:0.007 | Ache:0.007 | Young:0.007 | Mary:0.006
